aspiration,drivewheel,wheelbase,carlength,carwidth,curbweight,cylindernumber,enginesize,boreratio,stroke,horsepower,price
std,fwd,97.2,172.0,65.4,2145,four,108,3.62,2.64,82,7126.0
std,fwd,97.3,171.7,65.5,2264,four,97,3.01,3.4,52,7995.0
std,fwd,103.3,174.6,64.6,2535,four,122,3.34,3.46,88,8921.0
std,rwd,107.9,186.7,68.4,3075,four,120,3.46,2.19,95,15580.0
std,fwd,86.6,144.6,63.9,1819,four,92,2.91,3.41,76,6855.0
std,rwd,98.4,176.2,65.6,2551,four,146,3.62,3.5,116,9989.0
std,fwd,93.7,157.3,63.8,1876,four,90,2.97,3.23,68,5572.0
turbo,rwd,115.6,202.6,71.7,3770,five,183,3.58,3.64,123,31600.0
std,fwd,93.7,150.0,64.0,1956,four,92,2.91,3.41,76,7129.0
std,fwd,96.5,169.1,66.0,2293,four,110,3.15,3.58,100,10345.0
std,fwd,100.4,184.6,66.5,3296,six,181,3.43,3.27,152,14399.0
std,fwd,93.7,167.3,63.8,1989,four,90,2.97,3.23,68,6692.0
std,fwd,96.5,167.5,65.2,2289,four,110,3.15,3.58,86,9095.0
turbo,fwd,93.7,157.3,63.8,2128,four,98,3.03,3.39,102,7957.0
std,rwd,89.5,168.9,65.0,2756,six,194,3.74,2.9,207,32528.0
std,fwd,86.6,144.6,63.9,1713,four,92,2.91,3.41,58,6479.0
std,rwd,120.9,208.1,71.7,3900,eight,308,3.8,3.35,184,40960.0
std,fwd,93.7,150.0,64.0,1837,four,79,2.91,3.07,60,5399.0
std,rwd,98.4,176.2,65.6,2714,four,146,3.62,3.5,116,11549.0
std,fwd,95.7,169.7,63.6,2280,four,92,3.05,3.03,62,6918.0
std,rwd,94.5,168.7,64.0,2169,four,98,3.19,3.03,70,8058.0
std,rwd,102.9,183.5,67.7,3016,six,171,3.27,3.35,161,15998.0
std,fwd,105.8,192.7,71.4,2954,five,136,3.19,3.4,110,18920.0
std,rwd,89.5,168.9,65.0,2756,six,194,3.74,2.9,207,34028.0
std,fwd,94.5,165.3,63.8,1951,four,97,3.15,3.29,69,7299.0
turbo,fwd,95.9,173.2,66.3,2833,four,156,3.58,3.86,145,12629.0
std,fwd,98.8,177.8,66.5,2443,four,122,3.39,3.39,64,10795.0
turbo,fwd,105.8,192.7,71.4,3086,five,131,3.13,3.4,140,23875.0
std,rwd,109.1,188.8,68.9,3012,six,173,3.58,2.87,134,21485.0
std,fwd,103.3,174.6,64.6,2535,four,122,3.35,3.46,88,8921.0
std,fwd,93.7,157.3,64.4,1944,four,92,2.97,3.23,68,6189.0
turbo,rwd,108.0,186.7,68.3,3130,four,134,3.61,3.21,142,18150.0
turbo,fwd,97.3,171.7,65.5,2319,four,97,3.01,3.4,68,9495.0
std,fwd,93.1,166.8,64.2,1950,four,91,3.08,3.15,68,7395.0
std,fwd,97.3,171.7,65.5,2275,four,109,3.19,3.4,85,8495.0
std,fwd,97.3,171.7,65.5,2212,four,109,3.19,3.4,85,8195.0
std,fwd,100.4,180.2,66.9,2661,five,136,3.19,3.4,110,13295.0
std,fwd,99.1,186.6,66.5,2695,four,121,3.54,3.07,110,12170.0
std,rwd,104.9,175.0,66.1,2670,four,140,3.76,3.16,120,18280.0
std,fwd,102.4,175.6,66.5,2458,four,122,3.31,3.54,92,11248.0
std,rwd,107.9,186.7,68.4,3020,four,120,3.46,3.19,97,11900.0
std,fwd,96.3,172.4,65.4,2365,four,122,3.35,3.46,88,6989.0
std,fwd,94.5,158.8,63.6,1909,four,90,3.03,3.11,70,6575.0
std,fwd,97.2,173.4,65.2,2302,four,120,3.33,3.47,97,9549.0
std,4wd,93.3,157.3,63.8,2240,four,108,3.62,2.64,73,7603.0
std,rwd,104.3,188.8,67.2,3034,four,141,3.78,3.15,114,13415.0
std,4wd,96.9,173.6,65.4,2420,four,108,3.62,2.64,82,8013.0
std,fwd,98.8,177.8,66.5,2425,four,122,3.39,3.39,84,11245.0
std,fwd,93.7,157.9,63.6,2120,four,108,3.62,2.64,73,7053.0
turbo,fwd,96.3,172.4,65.4,2403,four,110,3.17,3.46,116,9279.0
turbo,rwd,104.3,188.8,67.2,3045,four,130,3.62,3.15,162,18420.0
std,4wd,99.4,176.6,66.4,2824,five,136,3.19,3.4,115,17450.0
std,fwd,93.1,159.1,64.2,1905,four,91,3.03,3.15,68,6795.0
std,fwd,93.7,157.3,63.8,1989,four,90,2.97,3.23,68,6692.0
std,fwd,97.2,172.0,65.4,2190,four,108,3.62,2.64,82,7775.0
std,fwd,97.2,173.4,65.2,2324,four,120,3.33,3.47,97,8949.0
turbo,fwd,96.3,173.0,65.4,2370,four,110,3.17,3.46,116,9959.0
turbo,fwd,93.7,157.3,63.8,2128,four,98,3.03,3.39,102,7957.0
std,rwd,103.5,193.8,67.9,3380,six,209,3.62,3.39,182,41315.0
std,rwd,88.6,168.8,64.1,2548,four,130,3.47,2.68,111,13495.0
std,rwd,96.6,180.3,70.5,3685,eight,234,3.46,3.1,155,35056.0
std,fwd,100.4,183.1,66.9,2563,four,109,3.19,3.4,88,12290.0
std,fwd,99.1,186.6,66.5,2707,four,121,2.54,2.07,110,15040.0
std,rwd,112.0,199.2,72.0,3715,eight,304,3.8,3.35,184,45400.0
std,rwd,109.1,188.8,68.9,2952,four,141,3.78,3.15,114,16845.0
std,fwd,93.7,150.0,64.0,1940,four,92,2.91,3.41,76,6529.0
std,fwd,102.4,175.6,66.5,2326,four,122,3.31,3.54,92,8948.0
turbo,fwd,93.7,157.3,63.8,2191,four,98,3.03,3.39,102,8558.0
std,fwd,99.1,186.6,66.5,2758,four,121,3.54,3.07,110,15510.0
std,fwd,88.4,141.1,60.3,1488,three,61,2.91,3.03,48,5151.0
turbo,rwd,95.9,173.2,66.3,2818,four,156,3.59,3.86,145,12764.0
turbo,rwd,104.3,188.8,67.2,3157,four,130,3.62,3.15,162,18950.0
std,rwd,101.2,176.8,64.8,2710,six,164,3.31,3.19,121,20970.0
std,fwd,93.7,157.3,63.8,1967,four,90,2.97,3.23,68,6229.0
turbo,fwd,95.9,173.2,66.3,2811,four,156,3.6,3.9,145,12964.0
std,fwd,96.3,172.4,65.4,2405,four,122,3.35,3.46,88,8189.0
std,rwd,110.0,197.0,70.9,3505,six,209,3.62,3.39,182,36880.0
std,rwd,95.3,169.0,65.7,2380,two,70,3.33,3.255,101,10945.0
std,rwd,104.9,175.0,66.1,2700,four,134,3.43,3.64,72,18344.0
std,fwd,96.5,167.5,65.2,2236,four,110,3.15,3.58,86,7895.0
std,4wd,95.7,169.7,63.6,3110,four,92,3.05,3.03,62,8778.0
std,fwd,94.5,155.9,63.6,1874,four,90,3.03,3.11,70,6295.0
turbo,rwd,114.2,198.9,68.4,3430,four,152,3.7,3.52,95,13860.0
turbo,fwd,95.9,173.2,66.3,2921,four,156,3.59,3.86,145,14869.0
std,rwd,94.5,168.7,64.0,2204,four,98,3.19,3.03,70,8238.0
std,rwd,95.3,169.0,65.7,2380,two,70,3.33,3.255,101,11845.0
std,fwd,95.7,166.3,64.4,2140,four,98,3.19,3.03,70,9258.0
std,fwd,94.5,165.6,63.8,2028,four,97,3.15,3.29,69,7799.0
turbo,fwd,93.0,157.3,63.8,2145,four,98,3.03,3.39,102,7689.0
turbo,4wd,99.5,178.2,67.9,3053,five,131,3.13,3.4,160,17859.167
std,rwd,104.3,188.8,67.2,2912,four,141,3.78,3.15,114,12940.0
std,fwd,94.5,155.9,63.6,1874,four,90,3.03,3.11,70,8916.5
std,4wd,95.7,169.7,63.6,2290,four,92,3.05,3.03,62,7898.0
turbo,rwd,110.0,190.9,70.3,3515,five,183,3.58,3.64,123,25552.0
turbo,rwd,109.1,188.8,68.9,3217,six,145,3.01,3.4,106,22470.0
std,fwd,93.1,166.8,64.2,1945,four,91,3.03,3.15,68,6695.0
std,rwd,96.0,172.6,65.2,2734,four,119,3.43,3.23,90,11048.0
std,rwd,101.2,176.8,64.8,2765,six,164,3.31,3.19,121,21105.0
std,rwd,107.9,186.7,68.4,3075,four,120,3.46,3.19,97,16630.0
std,fwd,97.3,171.7,65.5,2300,four,109,3.19,3.4,100,9995.0
std,fwd,96.5,175.4,65.2,2304,four,110,3.15,3.58,86,8845.0
std,fwd,93.7,157.3,64.4,1918,four,92,2.97,3.23,68,5389.0
std,rwd,94.5,168.7,64.0,2300,four,98,3.24,3.08,112,9538.0
std,rwd,103.5,189.0,66.9,3230,six,209,3.62,3.39,182,30760.0
std,rwd,115.6,202.6,71.7,3740,eight,234,3.46,3.1,155,34184.0
std,rwd,104.5,187.8,66.5,3151,six,161,3.27,3.35,156,15750.0
std,fwd,93.1,159.1,64.2,1900,four,91,3.03,3.15,68,6095.0
std,fwd,102.4,175.6,66.5,2414,four,122,3.31,3.54,92,9988.0
std,rwd,98.4,176.2,65.6,2536,four,146,3.62,3.5,116,9639.0
std,rwd,103.5,189.0,66.9,3055,six,164,3.31,3.19,121,24565.0
turbo,4wd,97.0,172.0,65.4,2510,four,108,3.62,2.64,111,11259.0
turbo,rwd,109.1,188.8,68.8,3049,four,141,3.78,3.15,160,19045.0
std,fwd,94.5,165.3,63.8,2017,four,103,2.99,3.47,55,7099.0
std,rwd,94.5,171.2,65.5,2823,six,152,2.68,3.47,154,16500.0
std,rwd,101.2,176.8,64.8,2395,four,108,3.5,2.8,101,16925.0
std,fwd,93.7,157.3,63.8,1876,four,90,2.97,3.23,68,6377.0
std,rwd,95.3,169.0,65.7,2385,two,70,3.33,3.255,101,13645.0
std,fwd,99.8,177.3,66.3,2507,five,136,3.19,3.4,110,15250.0
std,fwd,96.1,181.5,66.5,2579,four,132,3.46,3.9,90,9295.0
turbo,rwd,107.9,186.7,68.4,3252,four,152,3.7,3.52,95,17950.0
std,rwd,91.3,170.7,67.9,3071,six,181,3.43,3.27,160,17199.0
std,fwd,95.7,166.3,64.4,2275,four,110,3.27,3.35,56,7898.0
std,fwd,95.1,162.4,63.8,2008,four,97,3.15,3.29,69,8249.0
turbo,fwd,102.4,175.6,66.5,2480,four,110,3.27,3.35,73,10698.0
std,fwd,94.5,165.3,63.8,1938,four,97,3.15,3.29,69,6849.0
std,fwd,97.0,173.5,65.4,2290,four,108,3.62,2.64,82,7463.0
std,fwd,97.3,171.7,65.5,2261,four,97,3.01,3.4,52,7775.0
std,rwd,99.2,178.5,67.9,3139,six,181,3.43,3.27,160,18399.0
std,rwd,104.3,188.8,67.2,3042,four,141,3.78,3.15,114,16515.0
std,fwd,98.8,177.8,66.5,2410,four,122,3.39,3.39,84,8495.0
std,fwd,93.7,156.9,63.4,2050,four,97,3.62,2.36,69,5118.0
std,fwd,95.7,166.3,64.4,2094,four,98,3.19,3.03,70,7738.0
turbo,fwd,99.1,186.6,66.5,2847,four,121,3.54,3.07,160,18620.0
std,fwd,96.5,157.1,63.9,2024,four,92,2.92,3.41,76,7295.0
std,fwd,93.1,159.1,64.2,1890,four,91,3.03,3.15,68,5195.0
std,rwd,114.2,198.9,68.4,3230,four,120,3.46,3.19,97,12440.0
std,4wd,97.0,172.0,65.4,2385,four,108,3.62,2.64,82,9233.0
std,rwd,113.0,199.6,69.6,4066,six,258,3.63,4.17,176,32250.0
std,rwd,113.0,199.6,69.6,4066,six,258,3.63,4.17,176,35550.0
turbo,fwd,100.4,180.2,66.9,2579,four,97,3.01,3.4,68,13845.0
std,fwd,95.7,158.7,63.6,1985,four,92,3.05,3.03,62,5348.0
std,rwd,88.6,168.8,64.1,2548,four,130,3.47,2.68,111,16500.0
std,fwd,96.1,176.8,66.6,2460,four,132,3.46,3.9,90,9895.0
std,fwd,94.5,155.9,63.6,1909,four,90,3.03,3.11,70,8916.5
turbo,fwd,95.9,173.2,66.3,2926,four,156,3.59,3.86,145,14489.0
std,fwd,94.5,159.3,64.2,2254,four,109,3.19,3.4,90,11595.0
std,fwd,97.3,171.7,65.5,2209,four,109,3.19,3.4,85,7975.0
std,fwd,96.3,172.4,65.4,2403,four,110,3.17,3.46,116,9279.0
std,fwd,99.8,176.6,66.2,2337,four,109,3.19,3.4,102,13950.0
std,rwd,98.4,176.2,65.6,2540,four,146,3.62,3.5,116,8449.0
std,rwd,98.4,175.7,72.3,3366,eight,203,3.94,3.11,288,31400.5
std,fwd,95.7,166.3,64.4,2275,four,110,3.27,3.35,56,7788.0
std,fwd,94.5,165.3,63.8,1889,four,97,3.15,3.29,69,5499.0
turbo,rwd,109.1,188.8,68.9,3062,four,141,3.78,3.15,114,22625.0
std,fwd,95.7,166.3,64.4,2081,four,98,3.19,3.03,70,6938.0
turbo,fwd,99.1,186.6,66.5,2808,four,121,3.54,3.07,160,18150.0
std,rwd,102.9,183.5,67.7,2976,six,171,3.27,3.35,161,16558.0
std,rwd,98.4,176.2,65.6,2975,four,146,3.62,3.5,116,17669.0
std,fwd,95.7,158.7,63.6,2040,four,92,3.05,3.03,62,6338.0
std,fwd,93.7,157.3,63.8,1918,four,90,2.97,3.23,68,5572.0
std,fwd,98.8,177.8,66.5,2385,four,122,3.39,3.39,84,10595.0
std,fwd,97.2,172.0,65.4,2340,four,108,3.62,2.64,94,9960.0
std,fwd,98.8,177.8,66.5,2410,four,122,3.39,3.39,84,10245.0
std,fwd,99.1,186.6,66.5,2658,four,121,3.54,3.07,110,11850.0
